,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
84,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,0.9715984747618607 gram / milliliter,0.000380981081938031 gram / milliliter,,,,,7.906716186847123 dimensionless,1.0201678344792926 dimensionless,,
85,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,0.8120262129519576 gram / milliliter,0.0003281023561841724 gram / milliliter,,,,,6.470351917119808 dimensionless,0.6677494774502483 dimensionless,,
86,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,0.7939757046672381 gram / milliliter,0.0003209310380894099 gram / milliliter,,,,,8.117938717649158 dimensionless,0.8376737562459902 dimensionless,,
87,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,0.7958183188508863 gram / milliliter,0.00028985137142815905 gram / milliliter,,,,,,,,
88,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,0.7725576603912027 gram / milliliter,0.00030097565720336853 gram / milliliter,,,,,,,,
89,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,296.58726930960256 kilogram * meter ** 2 / mole / second ** 2,16.214480394932256 kilogram * meter ** 2 / mole / second ** 2,,,,
90,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,,,,,,,,,-3.7280498614481567e-07 meter ** 3 / mole,1.6551344559351985e-08 meter ** 3 / mole
91,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,220.07337221265698 kilogram * meter ** 2 / mole / second ** 2,15.702449152425347 kilogram * meter ** 2 / mole / second ** 2,,,,
92,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,,,,,,,,,-3.324484750377829e-07 meter ** 3 / mole,1.5769171595119527e-08 meter ** 3 / mole
93,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,0.7829459108668585 gram / milliliter,0.00021420567934867703 gram / milliliter,,,,,,,,
94,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,18.386582635110244 kilogram * meter ** 2 / mole / second ** 2,15.152561166799998 kilogram * meter ** 2 / mole / second ** 2,,,,
95,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,0.9177726189461957 gram / milliliter,0.0002897602332831506 gram / milliliter,,,,,,,,
96,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,0.8277063226324973 gram / milliliter,0.0003977218812798766 gram / milliliter,,,,,1.493112141884708 dimensionless,0.09944104303438658 dimensionless,,
97,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,0.8229790818493642 gram / milliliter,0.0002576890909304834 gram / milliliter,,,,,2.6783500681318846 dimensionless,0.28754877964918585 dimensionless,,
98,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,,,,,,,,,4.6454247634962205e-07 meter ** 3 / mole,1.8514613247651327e-08 meter ** 3 / mole
99,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,299.94911417488765 kilogram * meter ** 2 / mole / second ** 2,17.381225027400685 kilogram * meter ** 2 / mole / second ** 2,,,,
100,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,,,,,,,,,3.6581455685862356e-07 meter ** 3 / mole,1.807418690266986e-08 meter ** 3 / mole
101,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,192.14947103752638 kilogram * meter ** 2 / mole / second ** 2,16.502383979146565 kilogram * meter ** 2 / mole / second ** 2,,,,
102,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,0.8658685612749899 gram / milliliter,0.00023646989632410565 gram / milliliter,,,,,,,,
103,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,0.8168245101632973 gram / milliliter,0.00026523072219872187 gram / milliliter,,,,,2.7570209711005207 dimensionless,0.3690271998217519 dimensionless,,
104,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,0.8112713856809952 gram / milliliter,0.00029686055972657816 gram / milliliter,,,,,4.948939621851064 dimensionless,0.6052424055827851 dimensionless,,
105,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,0.9003311294300865 gram / milliliter,0.0002785403658135734 gram / milliliter,,,,,,,,
106,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,0.930757418540482 gram / milliliter,0.0002986710016872804 gram / milliliter,,,,,,,,
107,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,0.8048718044959966 gram / milliliter,0.00031273385570447396 gram / milliliter,,,,,5.998800158030241 dimensionless,0.7806081114271043 dimensionless,,
108,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,10.48239315200044 kilogram * meter ** 2 / mole / second ** 2,15.441810060536307 kilogram * meter ** 2 / mole / second ** 2,,,,
109,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,0.9115409088921362 gram / milliliter,0.00028400605865478026 gram / milliliter,,,,,,,,
110,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,0.9309218042325467 gram / milliliter,0.0002592462770504358 gram / milliliter,,,,,4.412363962850113 dimensionless,0.4595422255976645 dimensionless,,
111,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,0.797454004674776 gram / milliliter,0.00031923105177727535 gram / milliliter,,,,,7.863350331547317 dimensionless,0.8144047189409416 dimensionless,,
112,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,66235.98391697659 kilogram * meter ** 2 / mole / second ** 2,265.06870601886516 kilogram * meter ** 2 / mole / second ** 2,,,,,,
113,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,69693.10580485364 kilogram * meter ** 2 / mole / second ** 2,302.90096880561634 kilogram * meter ** 2 / mole / second ** 2,,,,,,
114,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,0.7821361686059479 gram / milliliter,0.00041700699614199467 gram / milliliter,,,,,12.206834317991786 dimensionless,1.0779718488023735 dimensionless,,
115,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,61369.14974217802 kilogram * meter ** 2 / mole / second ** 2,376.89414515246176 kilogram * meter ** 2 / mole / second ** 2,,,,,,
116,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,0.9834992408354198 gram / milliliter,0.00017102885613356285 gram / milliliter,,,,,26.800744876836617 dimensionless,1.4508799965576942 dimensionless,,
117,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,0.9365529361982166 gram / milliliter,0.0001916143639858713 gram / milliliter,,,,,10.319523318248613 dimensionless,1.4081916729606734 dimensionless,,
118,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,1.0762632770373437 gram / milliliter,0.0003324024110300905 gram / milliliter,,,,,2.5701735536377353 dimensionless,0.2957611199174651 dimensionless,,
119,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,-123.21662069922604 kilogram * meter ** 2 / mole / second ** 2,14.832617863997028 kilogram * meter ** 2 / mole / second ** 2,,,,
120,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,,,,,,,,,-7.308846641421689e-07 meter ** 3 / mole,1.4017583928528111e-08 meter ** 3 / mole
121,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,,,,,,,,,-4.417525124430832e-07 meter ** 3 / mole,1.466075229832305e-08 meter ** 3 / mole
122,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,0.8682201242797816 gram / milliliter,0.0002323513550956406 gram / milliliter,,,,,,,,
123,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,1.0553444743434346 gram / milliliter,0.0003976108723059885 gram / milliliter,,,,,,,,
124,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,73313.6127888211 kilogram * meter ** 2 / mole / second ** 2,194.66343098389817 kilogram * meter ** 2 / mole / second ** 2,,,,,,
125,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,77879.51909268409 kilogram * meter ** 2 / mole / second ** 2,220.7774729769449 kilogram * meter ** 2 / mole / second ** 2,,,,,,
126,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,54131.74608736553 kilogram * meter ** 2 / mole / second ** 2,244.81550218891599 kilogram * meter ** 2 / mole / second ** 2,,,,,,
127,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,58971.61438142957 kilogram * meter ** 2 / mole / second ** 2,257.34257306601637 kilogram * meter ** 2 / mole / second ** 2,,,,,,
128,298.15 kelvin,101.0 kilopascal,2,2,CO,0.2,O,0.8,,,,,-222.87896901938802 kilogram * meter ** 2 / mole / second ** 2,15.41509649175841 kilogram * meter ** 2 / mole / second ** 2,,,,
129,298.15 kelvin,100.0 kilopascal,2,2,O,0.75,CO,0.25,,,,,,,,,-8.278779290674476e-07 meter ** 3 / mole,1.0637706957199455e-08 meter ** 3 / mole
130,298.15 kelvin,100.0 kilopascal,2,2,O,0.25,CO,0.75,,,,,,,,,-7.260782520852649e-07 meter ** 3 / mole,1.2579623328712618e-08 meter ** 3 / mole
131,298.15 kelvin,101.0 kilopascal,2,2,CO,0.8,O,0.2,,,,,-40.11387442608884 kilogram * meter ** 2 / mole / second ** 2,15.102986959522635 kilogram * meter ** 2 / mole / second ** 2,,,,
132,298.15 kelvin,101.0 kilopascal,2,1,CO,1.0,,,0.7779119714788565 gram / milliliter,0.00039398350645368274 gram / milliliter,,,,,15.849223728447845 dimensionless,0.9899275092600853 dimensionless,,
133,303.15 kelvin,101.0 kilopascal,2,1,CS(=O)C,1.0,,,1.1245178998571481 gram / milliliter,9.180969266603671e-05 gram / milliliter,,,,,48.10293710179632 dimensionless,1.4759775753675124 dimensionless,,
134,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,1.0282288250252112 gram / milliliter,0.00032899620212251514 gram / milliliter,,,,,,,,
135,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,64148.18424998751 kilogram * meter ** 2 / mole / second ** 2,283.5403845232714 kilogram * meter ** 2 / mole / second ** 2,,,,,,
136,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,56557.28277244486 kilogram * meter ** 2 / mole / second ** 2,270.96127317190223 kilogram * meter ** 2 / mole / second ** 2,,,,,,
137,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccc(n1)C,0.004618,O,0.995382,,,,,-48.24389934870851 kilogram * meter ** 2 / mole / second ** 2,14.225796069713525 kilogram * meter ** 2 / mole / second ** 2,,,,
138,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccc(n1)C,1.0,,,0.917452403342497 gram / milliliter,0.0002701275859527653 gram / milliliter,,,,,,,,
139,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,,,,,,,,,-3.365956023344385e-07 meter ** 3 / mole,1.889109584915316e-08 meter ** 3 / mole
140,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,,,,,,,,,-3.6618054384056863e-07 meter ** 3 / mole,1.8144823570916897e-08 meter ** 3 / mole
141,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,-1260.3543895028706 kilogram * meter ** 2 / mole / second ** 2,17.189865491506794 kilogram * meter ** 2 / mole / second ** 2,,,,
142,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,-1188.6383693911484 kilogram * meter ** 2 / mole / second ** 2,17.06845035550313 kilogram * meter ** 2 / mole / second ** 2,,,,
143,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,,,,,,,,,-1.804945791671731e-07 meter ** 3 / mole,1.7349532978925645e-08 meter ** 3 / mole
144,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,-819.2712628759182 kilogram * meter ** 2 / mole / second ** 2,17.00267574569629 kilogram * meter ** 2 / mole / second ** 2,,,,
145,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccccc1N,1.0,,,1.011879223365035 gram / milliliter,0.0003087057501276903 gram / milliliter,,,,,,,,
146,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccnc1,0.005509,O,0.994491,,,,,-49.79789925702789 kilogram * meter ** 2 / mole / second ** 2,14.523188809334242 kilogram * meter ** 2 / mole / second ** 2,,,,
147,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccnc1,1.0,,,0.9396651459232804 gram / milliliter,0.0002910649925719498 gram / milliliter,,,,,,,,
148,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccncc1,0.005492,O,0.994508,,,,,-0.16520403077447554 kilogram * meter ** 2 / mole / second ** 2,14.832681219593482 kilogram * meter ** 2 / mole / second ** 2,,,,
149,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccncc1,1.0,,,0.9429267521930428 gram / milliliter,0.00020735988484541014 gram / milliliter,,,,,,,,
150,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,59341.24073058156 kilogram * meter ** 2 / mole / second ** 2,243.10350203681588 kilogram * meter ** 2 / mole / second ** 2,,,,,,
151,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,62811.68116018239 kilogram * meter ** 2 / mole / second ** 2,190.0674212294111 kilogram * meter ** 2 / mole / second ** 2,,,,,,
152,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,60777.52237413473 kilogram * meter ** 2 / mole / second ** 2,258.172967891108 kilogram * meter ** 2 / mole / second ** 2,,,,,,
153,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,72566.87515524312 kilogram * meter ** 2 / mole / second ** 2,306.50905792817815 kilogram * meter ** 2 / mole / second ** 2,,,,,,
154,298.15 kelvin,101.0 kilopascal,2,2,Cn1ccnc1,0.006766,O,0.993234,,,,,-73.82376754765573 kilogram * meter ** 2 / mole / second ** 2,14.275865105672004 kilogram * meter ** 2 / mole / second ** 2,,,,
155,298.15 kelvin,101.325 kilopascal,2,1,Cn1ccnc1,1.0,,,1.0516163939060261 gram / milliliter,0.0003080665053702159 gram / milliliter,,,,,,,,
156,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.75,O,0.25,,,,,184.6582427853573 kilogram * meter ** 2 / mole / second ** 2,16.00499966386527 kilogram * meter ** 2 / mole / second ** 2,,,,
157,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.27,O,0.73,,,,,-55.23860677833727 kilogram * meter ** 2 / mole / second ** 2,14.759760009988673 kilogram * meter ** 2 / mole / second ** 2,,,,
158,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,1.2447601715032965 gram / milliliter,0.00037241577896115276 gram / milliliter,,,,,,,,
159,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,1.5157390921437115 gram / milliliter,0.00031016593184694466 gram / milliliter,,,,,,,,
160,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,38836.389386174116 kilogram * meter ** 2 / mole / second ** 2,246.61769071344466 kilogram * meter ** 2 / mole / second ** 2,,,,,,
161,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,1.0666539206336643 gram / milliliter,0.0003533256654948774 gram / milliliter,,,,,,,,
162,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,61110.723631551045 kilogram * meter ** 2 / mole / second ** 2,291.27415674917427 kilogram * meter ** 2 / mole / second ** 2,,,,,,
163,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,0.9954488591725854 gram / milliliter,0.00033529522624570977 gram / milliliter,,,,,,,,
164,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,1.5316969441156536 gram / milliliter,0.00039879911345809955 gram / milliliter,,,,,,,,
165,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,43183.32414559591 kilogram * meter ** 2 / mole / second ** 2,235.99383551601923 kilogram * meter ** 2 / mole / second ** 2,,,,,,
166,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,40812.95091742727 kilogram * meter ** 2 / mole / second ** 2,174.44671539620856 kilogram * meter ** 2 / mole / second ** 2,,,,,,
167,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,1.1525081666853156 gram / milliliter,0.0002882126041373309 gram / milliliter,,,,,,,,
168,298.15 kelvin,101.325 kilopascal,2,1,c1ccccc1,1.0,,,0.8536217934775423 gram / milliliter,0.00038783482092092595 gram / milliliter,,,,,,,,
169,298.0 kelvin,101.325 kilopascal,6,1,c1ccccc1,1.0,,,,,31621.890038457423 kilogram * meter ** 2 / mole / second ** 2,153.33431398591614 kilogram * meter ** 2 / mole / second ** 2,,,,,,
170,298.15 kelvin,101.325 kilopascal,2,1,c1ccncc1,1.0,,,0.9778986478211245 gram / milliliter,0.0003913589653753326 gram / milliliter,,,,,,,,
171,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,0.9717118314286839 gram / milliliter,0.0003250035198634407 gram / milliliter,,,,,,,,
172,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,1.4449955863495723 gram / milliliter,0.0003206441263273532 gram / milliliter,,,,,,,,
173,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,72029.13338894845 kilogram * meter ** 2 / mole / second ** 2,195.88648417956773 kilogram * meter ** 2 / mole / second ** 2,,,,,,
174,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,63342.356393751674 kilogram * meter ** 2 / mole / second ** 2,237.0837096904624 kilogram * meter ** 2 / mole / second ** 2,,,,,,
